name,category,description,gut_score,confidence_score,aliases,dosage_min,dosage_max,dosage_unit,dosage_frequency,bacteria_1,bacteria_effect_1,bacteria_strength_1,bacteria_mechanism_1,bacteria_2,bacteria_effect_2,bacteria_strength_2,bacteria_mechanism_2,metabolic_effect_1,metabolic_mechanism_1,symptom_effect_1,symptom_direction_1,symptom_notes_1,citation_1_pmid,citation_1_title,citation_1_journal,citation_1_year
Lactobacillus rhamnosus GG,probiotic,Clinically proven probiotic strain with extensive research for digestive health,9.5,0.95,LGG;L. rhamnosus GG;ATCC 53103,1000000000,100000000000,CFU,daily,Bifidobacterium,promotes_growth,strong,Enhances Bifidobacterium through lectin-like proteins and biofilm formation,Salmonella,inhibits_growth,strong,Pili proteins inhibit pathogen adhesion and preserves epithelial integrity,reduces_inflammation,Increases IL-10 and IL-12 in macrophages while reducing inflammatory markers,diarrhea,positive,Reduces antibiotic-associated diarrhea by 43% and acute diarrhea duration by 1.1 days,30741841,Thirty Years of Research on Lactobacillus rhamnosus GG,Microorganisms,2019
Bifidobacterium lactis,probiotic,Well-researched probiotic with excellent survival and colonization properties,9.0,0.92,B. lactis;B. animalis subsp. lactis;BB-12;HN019,1000000000,100000000000,CFU,daily,Bacteroides,promotes_growth,strong,Survives gastric transit and colonizes colon through strain-specific adherence,Enterobacteriaceae,inhibits_growth,moderate,Competitive exclusion and bile acid metabolism reduce harmful bacteria,increases_scfa,Significant butyrate and acetate production through colonic fermentation,constipation,positive,Reduces whole gut transit time by 49±30h to 21±32h in clinical trials,39356506,Bifidobacterium animalis subsp. lactis HN019 for constipation,Journal of Functional Foods,2024
Inulin,prebiotic,Chicory-derived prebiotic fiber with selective bacterial fermentation properties,9.0,0.95,Chicory root fiber;Inulin-type fructans;ITF;β(2→1) fructans,3500,20000,mg,daily,Bifidobacterium,promotes_growth,strong,Selective fermentation in colon by specific bacterial enzymes with cross-feeding effects,Faecalibacterium prausnitzii,promotes_growth,strong,β(2→1) fructan degradation produces SCFAs and enhances gut barrier function,increases_scfa,Enhanced SCFA production primarily acetate with moderate butyrate through selective fermentation,constipation,positive,Relieves constipation and improves stool consistency with reduced bloating at appropriate doses,31707507,Systematic review of inulin effects on gut microbiota,Nutrients,2019
Resistant starch,prebiotic,Specialized starch that resists digestion and promotes beneficial bacterial growth,9.0,0.92,RS;RS2;High-amylose maize starch;Retrograded starch,15000,40000,mg,daily,Ruminococcus bromii,promotes_growth,strong,Primary degrader of resistant starch with specialized starch-degrading enzymes,Faecalibacterium prausnitzii,promotes_growth,strong,Cross-feeding networks from starch degradation promote butyrate-producing bacteria,increases_scfa,Highest butyrate production among prebiotics through specialized bacterial fermentation,irregular_bowel,positive,Improves glucose metabolism and weight management with enhanced satiety and stool form,38847603,Recent systematic review of resistant starch,Clinical Nutrition,2024
Lactobacillus acidophilus,probiotic,Classic probiotic strain with decades of research for digestive health,8.5,0.88,L. acidophilus;Acidophilus;NCFM;La-14;DDS-1,1000000000,60000000000,CFU,daily,Bifidobacterium,promotes_growth,moderate,Enhances Bifidobacterium through lactic acid production and competitive exclusion,Pathogenic bacteria,inhibits_growth,moderate,Bacteriocin production and immune modulation reduce harmful bacteria,reduces_inflammation,Reduces pro-inflammatory cytokines and enhances mucosal immunity through immune modulation,abdominal_pain,positive,Reduces IBS pain by 30% with NCFM strain and improves lactose intolerance symptoms,21876922,NCFM strain for IBS treatment,Gastroenterology,2011
Saccharomyces boulardii,probiotic,Beneficial yeast probiotic with antibiotic resistance and pathogen inhibition,8.5,0.90,S. boulardii;CNCM I-745;Probiotic yeast,5000000000,20000000000,CFU,daily,Clostridium difficile,inhibits_growth,strong,Anti-inflammatory factors and protease production inhibit pathogenic bacteria,Salmonella,inhibits_growth,strong,Yeast maintains during antibiotic therapy and modulates inflammatory response,modulates_immune,Increases sIgA and modulates inflammatory response while maintaining intestinal barrier,diarrhea,positive,Reduces antibiotic-associated diarrhea by 57% and prevents C. difficile recurrence,Multiple,Multiple meta-analyses showing consistent AAD prevention,Various journals,2015-2020
Curcumin,polyphenol,Turmeric-derived compound with powerful anti-inflammatory and gut barrier benefits,8.5,0.85,Turmeric;Curcuminoids;Nano-curcumin;Liposomal curcumin,500,2000,mg,daily,Bifidobacterium,promotes_growth,strong,Increases beneficial bacteria through NF-κB pathway inhibition and barrier enhancement,Enterobacteria,inhibits_growth,moderate,Anti-inflammatory effects reduce harmful bacteria while promoting beneficial growth,reduces_inflammation,Inhibits NF-κB pathway and enhances intestinal barrier function through alkaline phosphatase,bloating,positive,Reduces bloating and gas while improving digestive comfort through anti-inflammatory effects,32824993,Interaction between Gut Microbiota and Curcumin,Nutrients,2020
Berberine,other,Plant alkaloid with powerful gut microbiota modulation and metabolic benefits,9.0,0.90,Berberine hydrochloride;Berberine HCl;From Berberis aristata,300,1500,mg,twice_daily,Lactobacillus,promotes_growth,strong,Modulates bile acid metabolism and inhibits harmful bacteria through multiple pathways,Akkermansia,promotes_growth,strong,Increases SCFA-producing bacteria and reduces pathogenic Proteobacteria,reduces_inflammation,Reduces inflammatory markers and enhances gut barrier function through microbiota modulation,bloating,positive,Reduces bloating and gas while improving glucose metabolism and metabolic health,Multiple,Gut microbiome-related effects of berberine,Nature Communications,2020
Peppermint,herb,Enteric-coated peppermint oil with proven IBS symptom relief,8.5,0.85,Mentha piperita;Peppermint oil;Menthol;Enteric-coated peppermint oil,180,400,mg,twice_daily,Gut microbiome,modulates_activity,moderate,Antispasmodic effects on gut muscles with potential microbiome modulation,Pathogenic bacteria,inhibits_growth,moderate,Antimicrobial properties fight harmful bacteria while reducing gut inflammation,reduces_inflammation,Anti-inflammatory and antimicrobial effects with antispasmodic properties on gut muscles,abdominal_pain,positive,Reduces IBS symptoms with strong evidence for decreasing abdominal pain and bloating,24100754,Peppermint oil for IBS: systematic review,Alimentary Pharmacology & Therapeutics,2014
Psyllium husk,fiber,Soluble fiber with excellent stool-forming properties and gut barrier benefits,8.0,0.89,Psyllium;Ispaghula husk;Plantago ovata;Psyllium fiber,5000,15000,mg,daily,Faecalibacterium prausnitzii,promotes_growth,strong,Partial fermentation with water-holding capacity promotes beneficial bacteria,Bacteroides,promotes_growth,moderate,SCFA production and gut barrier enhancement support beneficial bacteria growth,improves_barrier_function,Moderate SCFA production and enhanced gut barrier function through mucilage properties,constipation,positive,Excellent constipation relief with improved stool consistency and IBS symptom management,31944095,Psyllium husk for gut health,Gastroenterology Research,2019
Lactobacillus plantarum,probiotic,Versatile probiotic strain with gut-brain axis and stress reduction benefits,8.0,0.85,L. plantarum;Lactiplantibacillus plantarum;299v;DR7;P8,1000000000,100000000000,CFU,daily,Lactobacillus,promotes_growth,strong,Excellent GI survival with good adhesion capacity and strain-specific colonization,Bifidobacterium,promotes_growth,strong,Bacteriocin production and competitive exclusion enhance beneficial bacteria,reduces_inflammation,Balances Th1/Th2 responses and strengthens intestinal barrier through immune modulation,gas,positive,Reduces stress and anxiety with P8 strain while improving IBS symptoms with 299v strain,30266270,P8 strain for stress reduction,Beneficial Microbes,2018
Omega-3 fatty acids,fatty_acid,Essential fatty acids with microbiome diversity and anti-inflammatory benefits,8.0,0.80,EPA;DHA;Alpha-linolenic acid;Fish oil,1000,4000,mg,daily,Lachnospiraceae,promotes_growth,strong,Increases microbiome diversity and promotes butyrate-producing bacteria families,Bifidobacterium,promotes_growth,moderate,Enhances intestinal alkaline phosphatase secretion and reduces LPS-producing bacteria,reduces_inflammation,Improves gut microbiome diversity and reduces metabolic endotoxemia through anti-inflammatory effects,irregular_bowel,positive,Increases gut microbiome diversity and reduces inflammatory markers with improved barrier function,28894110,Omega-3 fatty acids correlate with gut microbiome diversity,Microbiome,2017
Fructooligosaccharides,prebiotic,Short-chain fructans with selective bifidobacterial growth properties,8.0,0.86,FOS;Oligofructose;Short-chain fructooligosaccharides;β(2→1) fructans,2500,10000,mg,daily,Bifidobacterium,promotes_growth,strong,Rapid fermentation in proximal colon with highly selective bifidobacterial growth,Lactobacillus,promotes_growth,moderate,Cross-feeding effects and selective fermentation support beneficial bacteria growth,increases_scfa,Enhanced bifidobacterial growth with moderate SCFA production and improved mineral absorption,constipation,positive,Improved stool frequency and reduced constipation with enhanced immune function,36712525,Age-dependent effects of FOS,Nutrients,2023
Galactooligosaccharides,prebiotic,Prebiotic oligosaccharides with strong bifidobacterial stimulation,8.0,0.85,GOS;Transgalactooligosaccharides;β-galactooligosaccharides,1300,5000,mg,daily,Bifidobacterium,promotes_growth,strong,Enzymatic degradation by β-galactosidases with highly selective bacterial growth,Lactobacillus,promotes_growth,moderate,Selective bacterial growth and SCFA production enhance beneficial bacteria,increases_scfa,Strong bifidobacterial stimulation with moderate SCFA production and enhanced immune function,constipation,positive,Reduced constipation and improved gut comfort with enhanced immune response,39358591,Recent consensus review on GOS,Nutrients,2024
Butyrate,fatty_acid,Primary short-chain fatty acid and energy source for colon cells,9.0,0.90,Sodium butyrate;Calcium-magnesium butyrate;Short-chain fatty acid,300,600,mg,daily,Beneficial bacteria,promotes_growth,strong,Primary energy source for colonocytes providing 70% of energy needs,Pathogenic bacteria,inhibits_growth,moderate,Histone deacetylase inhibitor strengthens tight junction proteins,improves_barrier_function,Strengthens tight junction proteins and serves as primary energy source for colonocytes,irregular_bowel,positive,Effective treatment for inflammatory bowel disease and leaky gut syndrome repair,Multiple,Multiple clinical trials showing dose-dependent effects,Various journals,2015-2024
Ginger,herb,Traditional digestive herb with proven anti-inflammatory and motility benefits,8.0,0.80,Zingiber officinale;Ginger root;Shunthi;Adrak,250,1000,mg,daily,Bifidobacterium,promotes_growth,strong,Promotes beneficial bacteria growth and reduces pro-inflammatory species,Alloprevotella,promotes_growth,moderate,Increases SCFA-producing bacteria while reducing pathogenic bacteria,reduces_inflammation,Reduces gut inflammation and stimulates digestive enzymes and motility,bloating,positive,Reduces nausea and vomiting with improved gastric emptying and decreased bloating,33708178,Gut microbiota variation with ginger juice,Food & Function,2021
Glutamine,other,Amino acid serving as preferred fuel for intestinal cells,8.0,0.80,L-glutamine;Alanyl-glutamine,10000,15000,mg,daily,Enterocytes,promotes_growth,strong,Preferred fuel for enterocytes and colonocytes enhancing cellular function,Gut barrier,promotes_growth,strong,Enhances tight junction protein expression and reduces intestinal permeability,improves_barrier_function,Maintains nucleotide metabolism and enhances tight junction protein expression,irregular_bowel,positive,Intestinal barrier restoration with reduced gut inflammation and improved digestive comfort,24965526,Glutamine and intestinal barrier function,Clinical Nutrition,2014
Garlic,herb,Allium vegetable with prebiotic effects and antimicrobial properties,7.5,0.78,Allium sativum;Lahsun;Allicin,600,1200,mg,daily,Akkermansia,promotes_growth,strong,Prebiotic effects and antimicrobial activity against pathogens promote beneficial bacteria,Faecalibacterium prausnitzii,promotes_growth,strong,Broad-spectrum antibacterial activity selectively targets pathogens while supporting beneficial bacteria,reduces_inflammation,Reduces gut inflammation and improves gut barrier function through antimicrobial activity,gas,positive,Reduces digestive discomfort and improves gut microbiome diversity with immune support,32033507,Modulation of Allicin-Free Garlic on Gut Microbiome,Nutrients,2020
Turmeric,herb,Golden spice with curcumin providing anti-inflammatory and barrier benefits,8.5,0.85,Curcuma longa;Haldi;Indian saffron;Curcumin,500,2000,mg,daily,Bifidobacterium,promotes_growth,strong,Inhibits harmful bacteria growth and promotes beneficial bacteria proliferation,Lactobacillus,promotes_growth,moderate,Selective antibacterial effects against pathogens while enhancing bile production,reduces_inflammation,Reduces gut inflammation and enhances bile production and flow,bloating,positive,Reduces bloating and gas with improved digestive comfort and gut barrier function,32824993,Interaction between Gut Microbiota and Curcumin,Nutrients,2020
Beta-glucan,fiber,Soluble fiber from oats and barley with immune and metabolic benefits,7.0,0.78,β-glucan;Oat beta-glucan;Barley beta-glucan;Yeast beta-glucan,3000,10000,mg,daily,Akkermansia muciniphila,promotes_growth,strong,Variable fermentation based on structure with immune modulation,Lactobacillus,promotes_growth,moderate,SCFA production and cholesterol reduction through bacterial fermentation,modulates_immune,Moderate SCFA production with enhanced immune function and cholesterol reduction,irregular_bowel,positive,Improved cholesterol levels and enhanced immune response with moderate gut health benefits,33231600,Prebiotic potential of beta-glucan,Foods,2020
Fermented foods,other,Category of foods with live beneficial bacteria and enhanced bioavailability,8.0,0.80,Cultured foods;Probiotic foods;Lacto-fermented foods,1,2,servings,daily,Bifidobacterium,promotes_growth,strong,Live beneficial bacteria increase microbiome diversity and reduce pathogenic bacteria,Lactobacillus,promotes_growth,strong,Cultured foods enhance SCFA production and improve gut barrier function,increases_scfa,Increases microbiome diversity and enhances SCFA production with improved gut barrier function,bloating,positive,Reduces inflammation and improves digestive symptoms with immune function support,32184365,Consumption of Fermented Foods and Gut Microbiome,mSystems,2020
Kefir,other,Fermented milk drink with diverse probiotic strains and bioactive compounds,8.0,0.80,Milk kefir;Kefir grains;Fermented milk,150,250,ml,daily,Lactobacillus,promotes_growth,strong,Enhances microbiome diversity and modulates immune response,Bifidobacterium,promotes_growth,strong,Produces bioactive compounds and supports beneficial bacteria growth,modulates_immune,Enhances microbiome diversity and modulates immune response through bioactive compounds,bloating,positive,Reduces digestive symptoms and improves metabolic parameters with mental health support,31467609,Effects of Regular Kefir Consumption on Gut Microbiota,Nutrients,2019
Flaxseed,fiber,Omega-3 rich seed with prebiotic fiber and anti-inflammatory properties,7.0,0.70,Linum usitatissimum;Linseeds;Flax seeds,10000,20000,mg,daily,Bifidobacterium,promotes_growth,strong,Prebiotic fiber fermentation promotes beneficial bacteria growth,Akkermansia,promotes_growth,moderate,Omega-3 content and fiber promote butyrate-producing bacteria,increases_scfa,Increases SCFA production especially butyrate with improved gut barrier integrity,constipation,positive,Improves constipation and reduces gut inflammation with metabolic health support,30371735,Microbial fermentation of flaxseed fibers,American Journal of Physiology,2019
Chia seeds,fiber,Omega-3 rich seeds with soluble fiber and anti-inflammatory properties,7.0,0.70,Salvia hispanica L.;Chia seeds,15000,30000,mg,daily,Lactobacillus,promotes_growth,strong,Prebiotic fiber supports beneficial bacteria growth and SCFA production,Enterococcus,promotes_growth,moderate,Soluble fiber fermentation promotes SCFA-producing bacteria,increases_scfa,Increases acetate butyrate and propionate production with improved gut barrier function,bloating,positive,Reduces gut inflammation and improves digestive symptoms with metabolic health support,34576045,Effect of Chia Associated with High-Fat Diet,Nutrients,2021
Akkermansia muciniphila,probiotic,Next-generation probiotic with mucin degradation and barrier benefits,8.0,0.80,A. muciniphila;Akkermansia,10000000000,10000000000,CFU,daily,Mucin layer,promotes_growth,strong,Enhances mucin degradation and barrier function through specialized metabolism,GLP-1 secretion,promotes_growth,strong,Reduces intestinal permeability and modulates immune response through TLR2/TLR4 pathways,improves_barrier_function,Improves insulin sensitivity and reduces insulinemia through gut barrier enhancement,irregular_bowel,positive,Reduces metabolic syndrome markers and improves liver function with decreased inflammation,31263284,Supplementation with Akkermansia muciniphila,Nature Medicine,2019
Quercetin,polyphenol,Flavonoid with prebiotic properties and anti-inflammatory benefits,7.0,0.70,Quercetin dihydrate;Quercetin phytosome,500,1000,mg,daily,Akkermansia muciniphila,promotes_growth,strong,Produces bioactive metabolites and increases beneficial bacteria growth,Lactobacillus,promotes_growth,moderate,Anti-inflammatory effects through microbiome modulation enhance SCFA production,reduces_inflammation,Produces bioactive metabolites and enhances short-chain fatty acid production,bloating,positive,Metabolic syndrome management with gut microbiome diversity improvement,Multiple,Recent studies showing gut microbiome-dependent effects,Various journals,2024
Green tea extract,polyphenol,EGCG-rich extract with microbiome modulation and metabolic benefits,7.0,0.70,EGCG;Green tea polyphenols;Epigallocatechin gallate,400,800,mg,daily,Akkermansia,promotes_growth,strong,Increases beneficial bacteria and enhances butyrate production,Bifidobacterium,promotes_growth,moderate,Modulates Firmicutes/Bacteroidetes ratio through anti-inflammatory pathways,reduces_inflammation,Modulates Firmicutes/Bacteroidetes ratio with enhanced butyrate production,bloating,positive,Metabolic syndrome management with inflammatory bowel disease support,34493333,Green tea polyphenol gut microbiota improvements,Nutrients,2021
